"Sl No","Number of Vote","Date of Votes","Title in English","Title in French","Result","Def. Result","keyword1","keyword2","keyword3","type","Institutions","Theme codes","Turnout","Valid Ballot Sheets","Yes [%]","No [%]","Number of Yes-Votes in National Council","Number of No-Votes in National Council","Number of Abstentions in National Council","Number of Yes-Votes in States Council","Number of No-Votes in States Council","Number of Abstentions in States Council","Recommendation of Government","Total Electorate","Number Of Voters","Yes Votes","No Votes","Number of States accepting","Number of States rejecting","Linked Vote Status","Linked Vote","Without Response","Tie-Break Question: Number of People Supporting","Tie-Break Question: Number of State Supporting","Tie-Break Question: Without Response"
390,233,1972-12-03,"Federal decree on agreement between the Swiss Confederation and the EEC and member states of the EC on coal and steel","Arrêté fédéral du 03.10.1972 concernant les Accords entre la Confédération suisse et la Communauté économique européenne ainsi que les Etats membres de la Communauté européenne du charbon et de l'acier","yes",NA,"EU","Customs","Economic policy","mandatory Referendum","Customary Mandatory Treaty Referendum (Extraordinary)","EU | Customs | Economic policy","52.91",1854459,72.53,"27.47","108","38",NA,"21","14",NA,"None",3628891,1920153,1344994,509465,"22","0","none",NA,NA,NA,NA,NA
391,231,1972-09-24,"Citizen's initiative for increased control of arms industry and prohibition of arms exports","Initiative populaire pour un contrôle renforcé des industries d'armement et l'interdiction d'exportation d'armes","no",NA,"Arms","Foreign trade policy","none","initiative","Initiative (Formulated Draft)","Arms | Foreign trade policy | none","33.34",1177879,49.67,"50.33","15","123",NA,"0","31",NA,"None",3620937,1198239,585046,592833,"7","15","none",NA,NA,0,NA,0
392,229,1972-06-04,"Federal decree on measures to stabilise the construction market","Arrêté fédéral du 25.06.1971 concernant la stabilisation du marché de la construction","yes",NA,"Structural policy","none","none","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Structural policy | none | none","26.73",929621,83.35,"16.65","111","21",NA,"32","1",NA,"None",3604099,963855,774794,154827,"22",NA,"none",NA,NA,0,NA,0
393,230,1972-06-04,"Federal decree on protection of Swiss currency","Arrêté fédéral du 08.10.1971 sur la sauvegarde de la monnaie","yes",NA,"Monetary policy","none","none","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Monetary policy | none | none","26.71",922138,87.73,"12.27","132","2",NA,"37","0",NA,"None",3604099,963187,808974,113164,"22",NA,"none",NA,NA,0,NA,0
394,227,1972-03-05,"Counter proposal to the citizen's initiative ""Promotion of housing construction""","Contre-projet à l'initiative populaire en vue de la création d'un fonds pour la construction de logements (initiative Denner) [Insertion d'un art. 34sexies]","yes","yes","Building of residential housing, property ownership","none","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Building of residential housing, property ownership | none | none","35.7",1244492,62.7,"37.3","131","0",NA,"38","0",NA,"None",3600759,1285893,727629,432872,"21","1","linked","Citizen's initiative ""Promotion of housing construction""",NA,0,NA,0
395,227,1972-03-05,"Citizen's initiative ""Promotion of housing construction""","Arrêté fédéral du 17.12.1971 portant insertion dans la constitution fédérale d'un article 34sexies sur la construction de logements et concernant l'initiative populaire en vue de la création d'un fonds pour la construction de logements (initiative Denner)","no",NA,"Building of residential housing, property ownership","none","none","initiative","Initiative (Formulated Draft)","Building of residential housing, property ownership | none | none","35.7",1244492,30.13,"69.87","0","131",NA,"0","38",NA,"None",3600759,1285893,360262,835315,NA,"22","linked","Counter proposal to the citizen's initiative ""Promotion of housing construction""",NA,0,NA,0
396,228,1972-03-05,"Federal decree on supplementing the Federal Constitution with an article 34 on a declaration of the general bindingness of leasing contracts and measures to protect tenants","Arrêté fédéral du 17.12.1971 portant insertion dans la constitution fédérale d'un article 34septies sur la déclaration de force obligatoire générale de baux à loyer et sur des mesures en vue de la protection des locataires","yes",NA,"Tenancy issues","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Tenancy issues | none | none","35.7",1238117,85.4,"14.6","138","8",NA,"38","0",NA,"None",3600759,1285714,1057322,180795,"22",NA,"none",NA,NA,0,NA,0
397,225,1971-06-06,"Federal decree on supplementing the Federal Constitution by an article 24 on protecting people and the natural environment from harmful or annoying impacts","Arrêté fédéral du 18.12.1970 insérant dans la constitution fédérale un article 24septies sur la protection de l'homme et son milieu naturel contre les atteintes nuisibles ou incommodantes","yes",NA,"Environmental policy","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Environmental policy | none | none","37.84",1319290,92.7,"7.3",NA,NA,NA,NA,NA,NA,"None",3565435,1349608,1222931,96359,"22",NA,"none",NA,NA,0,NA,0
398,226,1971-06-06,"Federal decree on extension of federal budget","Arrêté fédéral du 11.03.1971 concernant la prorogation du régime financier de la Confédération","yes",NA,"Financial system","Tax system","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Financial system | Tax system | none","37.75",1279583,72.75,"27.25","125","20",NA,"36","0",NA,"None",3565435,1346363,930878,348702,"22",NA,"none",NA,NA,0,NA,0
399,224,1971-02-07,"Federal decree on introduction of women's suffrage at the federal level","Arrêté fédéral du 09.10.1970 sur l'institution du suffrage féminin en matière fédérale","yes",NA,"Voting rights","Status of women","Fundamental rights","mandatory Referendum","Constitutional Referendum (Partialrevision)","Voting rights | Status of women | Fundamental rights","57.72",944991,65.73,"34.27",NA,NA,NA,NA,NA,NA,"None",1654708,955321,621109,323882,"15.5","6.5","none",NA,NA,0,NA,0
400,223,1970-11-15,"Federal decree on amendment to federal budget","Arrêté fédéral du 24.06.1970 modifiant le régime des finances fédérales","no",NA,"Financial system","Tax system","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Financial system | Tax system | none","41.38",661082,55.38,"44.62",NA,NA,NA,NA,NA,NA,"None",1665753,682095,366117,294965,"9","13","none",NA,NA,0,NA,0
401,221,1970-09-27,"Federal decree on supplementing the Federal Constitution by an article 27 on promotion of sport and gymnastics","Arrêté fédéral du 18.03.1970 insérant dans la constitution fédéral un article 27quinquies sur l'encouragement de la gymnastique et des sports","yes",NA,"Schools","Electoral system","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Schools | Electoral system | none","43.77",702644,74.63,"25.37",NA,NA,NA,NA,NA,NA,"None",1648062,721383,524361,178283,"22",NA,"none",NA,NA,0,NA,0
402,222,1970-09-27,"Citizen's initiative for the right to housing and better protection of families","Initiative pour le droit au logement et le développement de la protection de la famille","no",NA,"Tenancy issues","Family policy","Fundamental rights","initiative","Initiative (Formulated Draft)","Tenancy issues | Family policy | Fundamental rights","43.81",704458,48.92,"51.08",NA,NA,NA,NA,NA,NA,"None",1648062,722070,344640,359818,"8","14","none",NA,NA,0,NA,0
403,220,1970-06-07,"Citizen's initiative ""Reduction of number of foreigners""","Initiative populaire contre l'emprise étrangère","no",NA,"Immigration policy","Employment policy","none","initiative","Initiative (Formulated Draft)","Immigration policy | Employment policy | none","74.72",1212361,45.99,"54.01",NA,NA,NA,NA,NA,NA,"None",1641777,1226658,557517,654844,"7","15","none",NA,NA,0,NA,0
404,219,1970-02-01,"Federal decree on domestic sugar production","Arrêté fédéral du 27.06.1969 sur l'économie sucrière indigène","yes",NA,"Crop production","none","none","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Crop production | none | none","43.75",700676,54.24,"45.76",NA,NA,NA,NA,NA,NA,"None",1634975,715486,380023,320653,NA,NA,"none",NA,NA,0,NA,0
405,218,1969-09-14,"Federal decree on supplementing the Federal Constitution by articles 22 and 22 (property law)","Arrêté fédéral du 21.03.1969 complétant la constitution par des articles 22ter et 22quater (Dispositions constitutionnelles sur le droit foncier)","yes",NA,"Land law","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Land law | none | none","32.93",511818,55.93,"44.07",NA,NA,NA,NA,NA,NA,"None",1626593,535830,286282,225536,"19.5","2.5","none",NA,NA,0,NA,0
406,217,1969-06-01,"Federal law on Technical Universities","Loi fédérale du 04.10.1968 sur les écoles polytechniques fédérales","no",NA,"Universities","Research","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Universities | Research | none","33.91",521313,34.48,"65.52",NA,NA,NA,NA,NA,NA,"None",1623226,550592,179765,341548,NA,NA,"none",NA,NA,0,NA,0
407,216,1968-05-19,"Federal law on tobacco tax","Loi fédérale du 05.10.1967 sur l'imposition du tabac","no",NA,"Indirect taxation","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Indirect taxation | none | none","36.91",574610,48.25,"51.75",NA,NA,NA,NA,NA,NA,"None",1606731,593258,277229,297381,NA,NA,"none",NA,NA,0,NA,0
408,215,1968-02-18,"Federal decree on issue of a general tax amnesty","Arrêté fédéral du 05.10.1967 concernant l'octroi d'une amnistie fiscale générale","yes",NA,"Tax policy","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Tax policy | none | none","41.79",648155,61.85,"38.15",NA,NA,NA,NA,NA,NA,"None",1603763,670402,400900,247255,"22",NA,"none",NA,NA,0,NA,0
409,214,1967-07-02,"Citizen's initiative against land speculation","Initiative contre la spéculation foncière","no",NA,"Land law","none","none","initiative","Initiative (Formulated Draft)","Land law | none | none","37.97",590294,32.69,"67.31",NA,NA,NA,NA,NA,NA,"None",1591621,604472,192991,397303,"1","21","none",NA,NA,0,NA,0
410,212,1966-10-16,"Federal decree on supplementing the Federal Constitution by an article 45 on Swiss living abroad","Arrêté fédéral du 25.03.1966 introduisant dans la constitution un article 45bis relatif aux Suisse de l'étranger","yes",NA,"Swiss abroad","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Swiss abroad | none | none","47.86",721703,68.06,"31.94",NA,NA,NA,NA,NA,NA,"None",1580573,756585,491220,230483,"22",NA,"none",NA,NA,0,NA,0
411,213,1966-10-16,"Citizen's initiative ""Fight against alcoholism""","Initiative relative à la lutte contre l'alcoolisme","no",NA,"Addictive substances","Indirect taxation","Pension insurance","initiative","Initiative (General Suggestion)","Addictive substances | Indirect taxation | Pension insurance","48.04",745509,23.37,"76.63",NA,NA,NA,NA,NA,NA,"None",1580573,759370,174242,571267,NA,NA,"none",NA,NA,0,NA,0
412,211,1965-05-16,"Federal law concerning amendment to a Federal decree on milk  milk products and cooking fat ","Loi fédérale du 02.10.1964 modifiant l'arrêté de l'Assemblée fédérale concernant le lait  les produits laitiers et les graisses comestibles","yes",NA,"Livestock","none","none","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Livestock | none | none","37.22",559843,61.99,"38.01",NA,NA,NA,NA,NA,NA,"None",1556375,583161,347059,212784,NA,NA,"none",NA,NA,0,NA,0
413,209,1965-02-28,"Federal decree on control of inflation through measures affecting money and capital markets and banking","Arrêté fédéral du 13.03.1964 concernant la lutte contre le renchérissement par des mesures dans le domaine du marché de l'argent et des capitaux et dans celui du crédit","yes",NA,"Short-term economic policy","Monetary policy","Banks, stock exchange, insurance","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Short-term economic policy | Monetary policy | Banks, stock exchange, insurance","59.66",912344,57.72,"42.28",NA,NA,NA,NA,NA,NA,"None",1558090,929696,526599,385745,"18.5","3.5","none",NA,NA,0,NA,0
414,210,1965-02-28,"Federal decree on control of inflation through measures affecting the building sector","Arrêté fédéral du 13.03.1964 concernant la lutte contre le renchérissement par des mesures dans le domaine de la construction","yes",NA,"Short-term economic policy","none","none","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Short-term economic policy | none | none","59.7",914186,55.54,"44.46",NA,NA,NA,NA,NA,NA,"None",1558090,930253,507739,406447,"17","5","none",NA,NA,0,NA,0
415,208,1964-12-06,"Federal decree on continuation of temporary price control measures","Arrêté fédéral du 09.10.1964 sur le maintien de mesures temporaires en matière de contrôle des prix","yes",NA,"Pricing policy","Tenancy issues","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Pricing policy | Tenancy issues | none","39.2",580888,79.47,"20.53",NA,NA,NA,NA,NA,NA,"None",1547405,606600,461630,119258,"22",NA,"none",NA,NA,0,NA,0
